 5000000 [  2   2   5  37 129] {'global_step': 745000, 'accuracy': 0.9590444, 'loss': 0.18086283}897
 10000000 [ 1 15 19 41 99] {'global_step': 745000, 'accuracy': 0.98976111, 'loss': 0.057754904}215
 500000 [ 0  0  0  5 76] {'global_step': 745000, 'accuracy': 0.70648462, 'loss': 1.7473781}178
 1000000 [  0   0   5   0 115] {'global_step': 745000, 'accuracy': 0.76791811, 'loss': 0.51610452}405
 1500000 [  0   1   1  12 161] {'global_step': 745000, 'accuracy': 0.87372011, 'loss': 0.48900935}621
 2000000 [  0   2   4  10 159] {'global_step': 745000, 'accuracy': 0.93174064, 'loss': 0.3650389}1319
 2500000 [  0   2   5  33 135] {'global_step': 745000, 'accuracy': 0.93174064, 'loss': 0.2257342}1651
 3000000 [  0   2  15  22 135] {'global_step': 745000, 'accuracy': 0.94880545, 'loss': 0.17671375}1203
 3500000 [  0   4  14  17 140] {'global_step': 745000, 'accuracy': 0.96587032, 'loss': 0.21440308}841
 4000000 [  0   4  12  54 105] {'global_step': 745000, 'accuracy': 0.97269624, 'loss': 0.090013295}370
 4500000 [ 0  5 13 66 91] {'global_step': 745000, 'accuracy': 0.97610921, 'loss': 0.091957726}368
 5000000 [  2   2   5  37 129] {'global_step': 745000, 'accuracy': 0.9590444, 'loss': 0.18086283}897
 5500000 [  0   5  35   9 126] {'global_step': 745000, 'accuracy': 0.98293513, 'loss': 0.095197596}313
 6000000 [  0  10  26   3 129] {'global_step': 745000, 'accuracy': 0.97269624, 'loss': 0.16575843}269
 6500000 [ 0  7 27 44 97] {'global_step': 745000, 'accuracy': 0.97952217, 'loss': 0.093009807}459
 7000000 [  0  15  14  20 126] {'global_step': 745000, 'accuracy': 0.98634815, 'loss': 0.092417814}299
 7500000 [  0  17  17   1 138] {'global_step': 745000, 'accuracy': 0.97952217, 'loss': 0.13564664}271
 8000000 [  4   2  15  20 134] {'global_step': 745000, 'accuracy': 0.96587032, 'loss': 0.1362325}298
 8500000 [ 0 15 16 59 85] {'global_step': 745000, 'accuracy': 0.98976111, 'loss': 0.075360961}487
 9000000 [ 4  4 10 66 91] {'global_step': 745000, 'accuracy': 0.98293513, 'loss': 0.099166967}156
 9500000 [ 4  3 26 43 99] {'global_step': 745000, 'accuracy': 0.97952217, 'loss': 0.091656864}369
 10000000 [ 1 15 19 41 99] {'global_step': 745000, 'accuracy': 0.98976111, 'loss': 0.057754904}215
 10500000 [ 4  5 26 41 99] {'global_step': 745000, 'accuracy': 0.98634815, 'loss': 0.077479772}173
 11000000 [ 2 14 17 43 99] {'global_step': 745000, 'accuracy': 0.98634815, 'loss': 0.060328174}227
 11500000 [ 2 14 23 37 99] {'global_step': 745000, 'accuracy': 0.97952217, 'loss': 0.064988114}238
 12000000 [ 5  4 22 61 83] {'global_step': 745000, 'accuracy': 0.98293513, 'loss': 0.097851537}225
 12500000 [ 4 15 16 41 99] {'global_step': 745000, 'accuracy': 0.98976111, 'loss': 0.068083219}148
 13000000 [ 4 16 15 49 91] {'global_step': 745000, 'accuracy': 0.98976111, 'loss': 0.069337122}167
 13500000 [  5  16  15  12 127] {'global_step': 745000, 'accuracy': 0.98293513, 'loss': 0.1009673}118
 14000000 [ 4  3 88  3 77] {'global_step': 745000, 'accuracy': 0.97269624, 'loss': 0.10407395}200
