 3330000 [ 0 11  9 10 72] {'accuracy': 0.98581898, 'loss': 0.11038303, 'global_step': 2496513}237
 6660000 [ 4  3 20 58 17] {'accuracy': 0.99550933, 'loss': 0.039238449, 'global_step': 2496513}160
 9990000 [ 8  3 16 43 32] {'accuracy': 0.9976365, 'loss': 0.027840285, 'global_step': 2496513}167
 13320000 [ 12  1 14 62 13] {'accuracy': 0.99361855, 'loss': 0.032323878, 'global_step': 2496513}183
 333000 [ 0  0  2  1 57] {'accuracy': 0.75892222, 'global_step': 2496513, 'loss': 5.809073}205
 666000 [ 0  0  4  7 91] {'accuracy': 0.93547624, 'global_step': 2496513, 'loss': 1.1143349}324
 999000 [ 0  1  7  3 91] {'accuracy': 0.94989365, 'global_step': 2496513, 'loss': 0.59218174}357
 333000 [ 0  0  2  1 57] {'accuracy': 0.75892222, 'global_step': 2496513, 'loss': 5.809073}205
 666000 [ 0  0  4  7 91] {'accuracy': 0.93547624, 'global_step': 2496513, 'loss': 1.1143349}324
 1332000 [ 0  1 11 17 73] {'accuracy': 0.97021979, 'global_step': 2496513, 'loss': 0.33228433}511
 999000 [ 0  1  7  3 91] {'accuracy': 0.94989365, 'global_step': 2496513, 'loss': 0.59218174}357
 1665000 [ 0  3  9 18 72] {'accuracy': 0.97636491, 'global_step': 2496513, 'loss': 0.2332533}332
 1332000 [ 0  1 11 17 73] {'accuracy': 0.97021979, 'global_step': 2496513, 'loss': 0.33228433}511
 1998000 [ 0  5  7 18 72] {'accuracy': 0.97471046, 'global_step': 2496513, 'loss': 0.21847585}508
 2331000 [ 0  7  6 17 72] {'accuracy': 0.97991019, 'global_step': 2496513, 'loss': 0.16444032}246
 1665000 [ 0  3  9 18 72] {'accuracy': 0.97636491, 'global_step': 2496513, 'loss': 0.2332533}332
 2664000 [ 0  8  5 17 72] {'accuracy': 0.98061925, 'global_step': 2496513, 'loss': 0.15629774}518
 1998000 [ 0  5  7 18 72] {'accuracy': 0.97471046, 'global_step': 2496513, 'loss': 0.21847585}508
 2331000 [ 0  7  6 17 72] {'accuracy': 0.97991019, 'global_step': 2496513, 'loss': 0.16444032}246
 2997000 [ 1  6  6 19 70] {'accuracy': 0.97991019, 'global_step': 2496513, 'loss': 0.13584623}514
 3330000 [ 0 11  9 10 72] {'accuracy': 0.98581898, 'global_step': 2496513, 'loss': 0.11038303}237
 2664000 [ 0  8  5 17 72] {'accuracy': 0.98061925, 'global_step': 2496513, 'loss': 0.15629774}518
 3663000 [ 0 12  9 24 57] {'accuracy': 0.98581898, 'global_step': 2496513, 'loss': 0.11934643}264
 2997000 [ 1  6  6 19 70] {'accuracy': 0.97991019, 'global_step': 2496513, 'loss': 0.13584623}514
 3996000 [ 2  7  4 19 70] {'accuracy': 0.98156464, 'global_step': 2496513, 'loss': 0.13193676}433
 3330000 [ 0 11  9 10 72] {'accuracy': 0.98581898, 'global_step': 2496513, 'loss': 0.11038303}237
 4329000 [ 0  8 20 42 32] {'accuracy': 0.99456394, 'global_step': 2496513, 'loss': 0.062617786}350
 3663000 [ 0 12  9 24 57] {'accuracy': 0.98581898, 'global_step': 2496513, 'loss': 0.11934643}264
 4662000 [ 0  8 20 42 32] {'accuracy': 0.99456394, 'global_step': 2496513, 'loss': 0.062617786}381
 4995000 [ 2 11  9 21 56] {'accuracy': 0.98676437, 'global_step': 2496513, 'loss': 0.091028139}85
 3996000 [ 2  7  4 19 70] {'accuracy': 0.98156464, 'global_step': 2496513, 'loss': 0.13193676}433
 4329000 [ 0  8 20 42 32] {'accuracy': 0.99456394, 'global_step': 2496513, 'loss': 0.062617786}350
 5328000 [ 2  4  7 54 35] {'accuracy': 0.98558259, 'global_step': 2496513, 'loss': 0.10309196}499
 5661000 [ 3  9 14 19 57] {'accuracy': 0.99338216, 'global_step': 2496513, 'loss': 0.057886846}88
 5994000 [ 1  9 18 42 32] {'accuracy': 0.99574566, 'global_step': 2496513, 'loss': 0.041560531}178
 4662000 [ 0  8 20 42 32] {'accuracy': 0.99456394, 'global_step': 2496513, 'loss': 0.062617786}381
 4995000 [ 2 11  9 21 56] {'accuracy': 0.98676437, 'global_step': 2496513, 'loss': 0.091028139}85
 6327000 [ 4  3 20 58 17] {'accuracy': 0.99550933, 'global_step': 2496513, 'loss': 0.039238449}153
 6660000 [ 4  3 20 58 17] {'accuracy': 0.99550933, 'global_step': 2496513, 'loss': 0.039238449}160
